,State,Plant,County,Latitude,Longitude,Nameplate capacity (MW),Balancing Authority,Emission intensity (ton/MWh)
47,IA,Archer Daniels Midland Clinton,Clinton,41.8206,-90.2097,211.4,"Midcontinent Independent Transmission System Operator, Inc..",0.603045
48,IA,Archer Daniels Midland Des Moines,Polk,41.624438,-93.584515,7.9,"Midcontinent Independent Transmission System Operator, Inc..",0.617025
49,IA,Burlington (IA),Des Moines,40.7412,-91.116667,290.8,"Midcontinent Independent Transmission System Operator, Inc..",1.17769
50,IA,George Neal North,Woodbury,42.299794,-96.361707,1080.3,"Midcontinent Independent Transmission System Operator, Inc..",1.16502
51,IA,George Neal South,Woodbury,42.3006,-96.3617,695.9,"Midcontinent Independent Transmission System Operator, Inc..",1.010435
52,IA,Iowa State University,Story,42.0275,-93.6394,49,"Midcontinent Independent Transmission System Operator, Inc..",0.46245
53,IA,Lansing,Allamakee,43.3359,-91.1675,340.5,"Midcontinent Independent Transmission System Operator, Inc..",1.30278
54,IA,Louisa,Louisa,41.3181,-91.0931,811.9,"Midcontinent Independent Transmission System Operator, Inc..",1.111955
55,IA,Muscatine,Muscatine,41.3917,-91.0569,293.5,"Midcontinent Independent Transmission System Operator, Inc..",0.61783
56,IA,Ottumwa,Wapello,41.0961,-92.555833,725.9,"Midcontinent Independent Transmission System Operator, Inc..",1.18393
57,IA,Prairie Creek,Linn,41.944039,-91.639167,236.4,"Midcontinent Independent Transmission System Operator, Inc..",0.94933
58,IA,University of Iowa Main Power Plant,Johnson,41.6572,-91.54,46.5,"Midcontinent Independent Transmission System Operator, Inc..",0.263415
59,IA,Walter Scott Jr. Energy Center,Pottawattamie,41.18,-95.8408,1778.9,"Midcontinent Independent Transmission System Operator, Inc..",1.05242
60,IL,Archer Daniels Midland Co.,Macon,39.870074,-88.890756,335,"Midcontinent Independent Transmission System Operator, Inc..",0.545795
61,IL,Baldwin Energy Complex,Randolph,38.205,-89.8544,1894.1,"Midcontinent Independent Transmission System Operator, Inc..",1.083345
62,IL,Coffeen,Montgomery,39.0586,-89.4031,1005.4,"Midcontinent Independent Transmission System Operator, Inc..",1.152875
63,IL,Dallman,Sangamon,39.754803,-89.602389,617.8,"Midcontinent Independent Transmission System Operator, Inc..",1.25986
64,IL,Duck Creek,Fulton,40.4663,-89.9841,441,"Midcontinent Independent Transmission System Operator, Inc..",1.077445
65,IL,E D Edwards,Peoria,40.5958,-89.6631,780.3,"Midcontinent Independent Transmission System Operator, Inc..",1.065185
66,IL,Havana,Mason,40.2797,-90.08,718,"Midcontinent Independent Transmission System Operator, Inc..",1.18546
67,IL,Hennepin Power Station,Putnam,41.3028,-89.315,306.3,"Midcontinent Independent Transmission System Operator, Inc..",1.225335
68,IL,Ingredion Incorporated Argo Plant,Cook,41.7775,-87.8233,54.6,"PJM Interconnection, LLC",0.64405
69,IL,Joppa Steam,Massac,37.2094,-88.858889,1099.8,"Electric Energy, Inc.",1.15002
70,IL,Kincaid Generating Station,Christian,39.590556,-89.496389,1319,"PJM Interconnection, LLC",1.086435
71,IL,Marion,Williamson,37.619747,-88.953114,422,"Midcontinent Independent Transmission System Operator, Inc..",1.428995
